hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
颗,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc","树上结满了红色的果实，一颗颗的很诱人。","shù shàng jiē mǎn le hóngsè de guǒshí, yī kē kē de hěn yòurén.","The tree is full of red fruits, each one looks very tempting.","夜空中闪烁着无数颗星星。","yèkōng zhōng shǎnshuò zhe wúshù kē xīngxing.","Countless stars twinkle in the night sky."
路上,lùshang,"on the road; on a journey; road surface","路上小心。","lùshang xiǎoxīn.","Be careful on the road.","我在路上遇到了一个老朋友。","wǒ zài lùshang yùdào le yī ge lǎo péngyou.","I met an old friend on the road."
哪个,nǎge,"which; who","你喜欢哪个颜色？","nǐ xǐhuan nǎge yánsè?","Which color do you like?","哪个是你的？","nǎge shì nǐ de?","Which one is yours?"
感谢,gǎnxiè,"(express) thanks; gratitude; grateful; thankful; thanks","非常感谢你的帮助。","fēicháng gǎnxiè nǐ de bāngzhù.","Thank you very much for your help.","我对他充满了感激之情。","wǒ duì tā chōngmǎn le gǎnxiè zhī qíng.","I am full of gratitude towards him."
外,wài,"outside; in addition; foreign; external","请在外面等。","qǐng zài wàimiàn děng.","Please wait outside.","除了这些，我还需要一些外包装。","chúle zhèxiē, wǒ hái xūyào yīxiē wài bāozhuāng.","Besides these, I also need some external packaging."
值得,zhíde,"to be worth; to deserve","这本书值得一读。","zhè běn shū zhíde yī dú.","This book is worth reading.","他的努力值得肯定。","tā de nǔlì zhíde kěndìng.","His efforts deserve recognition."
有时候,yǒushíhou,"sometimes","我有时候会去公园散步。","wǒ yǒushíhou huì qù gōngyuán sànbù.","Sometimes I go for a walk in the park.","他有时候会迟到。","tā yǒushíhou huì chídào.","He is sometimes late."
故事,gùshi,"narrative; story; tale","请给我讲个故事。","qǐng gěi wǒ jiǎng ge gùshi.","Please tell me a story.","这个故事很有趣。","zhège gùshi hěn yǒuqù.","This story is very interesting."
剩下,shèngxià,"to remain; left over","蛋糕只剩下一点点了。","dàngāo zhǐ shèngxià yīdiǎndiǎn le.","There's only a little bit of cake left over.","剩下的钱我们存起来吧。","shèngxià de qián wǒmen cún qǐlai ba.","Let's save the remaining money."
开门,kāimén,"to open a door (lit. and fig.); to open for business","请帮我开门。","qǐng bāng wǒ kāimén.","Please open the door for me.","这家商店早上九点开门。","zhè jiā shāngdiàn zǎoshang jiǔ diǎn kāimén.","This shop opens at 9 AM."
近,jìn,"near; close to; approximately","我家离学校很近。","wǒ jiā lí xuéxiào hěn jìn.","My home is very near the school.","他最近身体不好。","tā zuìjìn shēntǐ bù hǎo.","He hasn't been in good health recently."
各,gè,"each; every","请各位同学回到座位上。","qǐng gè wèi tóngxué huídào zuòwèi shàng.","Each student please return to your seat.","各个部门都要互相合作。","gège bùmén dōu yào hùxiāng hézuò.","Each department must cooperate with each other."
不同,bùtóng,"different; distinct; not the same; not alike","我们有不同的看法。","wǒmen yǒu bùtóng de kànfǎ.","We have different opinions.","这两个词的意思是不同的。","zhè liǎng ge cí de yìsi shì bùtóng de.","The meanings of these two words are different."
半,bàn,"half; semi-; incomplete; (after a number) and a half","请给我半杯水。","qǐng gěi wǒ bàn bēi shuǐ.","Please give me half a glass of water.","我等了你半个小时。","wǒ děng le nǐ bàn ge xiǎoshí.","I waited for you for half an hour."
顺利,shùnlì,"smoothly; without a hitch","祝你考试顺利！","zhù nǐ kǎoshì shùnlì!","Wish you success in your exam!","会议进行得很顺利。","huìyì jìnxíng de hěn shùnlì.","The meeting went very smoothly."
再也,zàiyě,"(not) any more","我再也不相信他了。","wǒ zàiyě bù xiāngxìn tā le.","I don't believe him anymore.","他离开后，就再也没回来过。","tā líkāi hòu, jiù zàiyě méi huílai guo.","After he left, he never came back again."
年纪,niánjì,"age; CL:把[ba3],個|个[ge4]","他年纪大了，身体不太好。","tā niánjì dà le, shēntǐ bù tài hǎo.","He is old, and his health is not very good.","你什么年纪了？","nǐ shénme niánjì le?","What's your age?"
至于,zhìyú,"as for; as to; to go so far as to","我们可以先讨论工作，至于其他的，以后再说。","wǒmen kěyǐ xiān tǎolùn gōngzuò, zhìyú qítā de, yǐhòu zàishuō.","We can discuss work first, as for other things, we'll talk later.","他不至于为这点小事生气吧？","tā bù zhìyú wèi zhè diǎn xiǎoshì shēngqì ba?","He wouldn't go so far as to get angry over such a small matter, would he?"
商量,shāngliang,"to consult; to talk over; to discuss","我们商量一下怎么办。","wǒmen shāngliang yīxià zěnme bàn.","Let's discuss what to do.","这件事需要和家人商量。","zhè jiàn shì xūyào hé jiārén shāngliang.","This matter needs to be discussed with family."
捡,jiǎn,"to pick up; to collect; to gather","他把地上的垃圾捡起来了。","tā bǎ dìshàng de lājī jiǎn qǐlai le.","He picked up the trash on the ground.","我在海边捡了很多贝壳。","wǒ zài hǎibiān jiǎn le hěn duō bèiké.","I collected many seashells on the beach."
干,gān,"dry; clean; in vain; dried food; foster; adoptive; to ignore","请把衣服晾干。","qǐng bǎ yīfu liàng gān.","Please hang the clothes out to dry.","他白干了一天。","tā bái gàn le yī tiān.","He worked for a day in vain."
种,zhǒng,"seed; species; kind; type; classifier for types, kinds, sorts","你喜欢哪种颜色？","nǐ xǐhuan nǎ zhǒng yánsè?","Which kind of color do you like?","这是一种新的技术。","zhè shì yī zhǒng xīn de jìshù.","This is a new type of technology."
种,zhòng,"to plant; to grow; to cultivate","春天是种树的好季节。","chūntiān shì zhòng shù de hǎo jìjié.","Spring is a good season for planting trees.","他在院子里种了很多花。","tā zài yuànzi lǐ zhòng le hěn duō huā.","He planted many flowers in the yard."
兴趣,xìngqù,"interest (desire to know about sth); interest (thing in which one is interested); hobby; CL:個|个[ge4]","我对音乐很感兴趣。","wǒ duì yīnyuè hěn gǎn xìngqù.","I am very interested in music.","培养孩子的兴趣很重要。","péiyǎng háizi de xìngqù hěn zhòngyào.","Cultivating children's interests is very important."
迟到,chídào,"to arrive late","对不起，我迟到了。","duìbuqǐ, wǒ chídào le.","Sorry, I'm late.","上课不要迟到。","shàngkè bùyào chídào.","Don't be late for class."
冲,chōng,"thoroughfare; to go straight ahead; to rush; to clash","他猛地向前冲去。","tā měng de xiàng qián chōng qù.","He rushed forward suddenly.","请给我冲一杯咖啡。","qǐng gěi wǒ chōng yī bēi kāfēi.","Please make me a cup of coffee (by pouring hot water)."
滚,gǔn,"to boil; to roll; to take a hike; Get lost!","水滚了，可以泡茶了。","shuǐ gǔn le, kěyǐ pào chá le.","The water is boiling, you can make tea now.","球滚到了桌子下面。","qiú gǔn dào le zhuōzi xiàmiàn.","The ball rolled under the table."
关于,guānyú,"pertaining to; concerning; with regard to; about; a matter of","关于这个问题，我们需要再讨论一下。","guānyú zhège wèntí, wǒmen xūyào zài tǎolùn yīxià.","Regarding this issue, we need to discuss it further.","这是一本关于历史的书。","zhè shì yī běn guānyú lìshǐ de shū.","This is a book about history."
失望,shīwàng,"disappointed; to lose hope; to despair","听到这个消息，我很失望。","tīngdào zhège xiāoxi, wǒ hěn shīwàng.","Hearing this news, I am very disappointed.","不要对生活失去希望。","bùyào duì shēnghuó shīqù xīwàng. (using 失 from 失望)","Don't lose hope in life."
一声,yīshēng,"first tone in Mandarin (high, level tone)","他大叫了一声。","tā dà jiào le yī shēng.","He shouted out loud once.","这个字读第一声。","zhège zì dú dì yī shēng.","This character is read with the first tone."
冷,lěng,"cold","今天天气很冷。","jīntiān tiānqì hěn lěng.","The weather is very cold today.","他对我态度很冷淡。","tā duì wǒ tàidu hěn lěngdàn.","His attitude towards me is very cold."
认,rèn,"to recognize; to know; to admit","你还认得我吗？","nǐ hái rènde wǒ ma?","Do you still recognize me?","他承认了自己的错误。","tā chéngrèn le zìjǐ de cuòwù. (Using 承认 which contains 认)","He admitted his mistake."
挑,tiāo,"to carry on a shoulder pole; to choose; to pick; to nitpick","请帮我挑一个好苹果。","qǐng bāng wǒ tiāo yī ge hǎo píngguǒ.","Please help me pick a good apple.","他挑着担子去市场。","tā tiāo zhe dànzi qù shìchǎng.","He carried the load on a shoulder pole to the market."
挑,tiǎo,"to raise; to dig up; to poke; to prick; to incite; to stir up","他用棍子挑了一下火。","tā yòng gùnzi tiǎo le yīxià huǒ.","He poked the fire with a stick.","不要挑拨离间。","bùyào tiǎobō líjiàn.","Don't stir up trouble/sow discord."
来不及,láibují,"there's not enough time (to do sth); it's too late (to do sth)","快点，要来不及了！","kuài diǎn, yào láibují le!","Hurry up, there's not enough time! / We're going to be late!","现在后悔也来不及了。","xiànzài hòuhuǐ yě láibují le.","It's too late to regret now."
说好,shuōhǎo,"to come to an agreement; to complete negotiations","我们说好了明天见。","wǒmen shuōhǎo le míngtiān jiàn.","We agreed to meet tomorrow.","这是我们说好的，不能改。","zhè shì wǒmen shuōhǎo de, bù néng gǎi.","This is what we agreed upon, it cannot be changed."
大概,dàgài,"roughly; probably; rough; approximate; about; general idea","他大概不会来了。","tā dàgài bù huì lái le.","He probably won't come.","这里大概有一百人。","zhèlǐ dàgài yǒu yī bǎi rén.","There are roughly one hundred people here."
辈子,bèizi,"all one's life; lifetime","我这辈子都不会忘记你。","wǒ zhè bèizi dōu bù huì wàngjì nǐ.","I will never forget you in my entire life.","他辛苦了一辈子。","tā xīnkǔ le yī bèizi.","He worked hard his whole life."
有的,yǒude,"(there are) some (who are...); some (exist)","有的人喜欢早起，有的人喜欢晚睡。","yǒude rén xǐhuan zǎoqǐ, yǒude rén xǐhuan wǎnshuì.","Some people like to get up early, some like to sleep late.","这些苹果有的是红的，有的是绿的。","zhèxiē píngguǒ yǒude shì hóng de, yǒude shì lǜ de.","Some of these apples are red, some are green."
干净,gānjìng,"clean; neat","请把房间打扫干净。","qǐng bǎ fángjiān dǎsǎo gānjìng.","Please clean the room.","他穿得很干净。","tā chuān de hěn gānjìng.","He is dressed very neatly."
目的,mùdì,"purpose; aim; goal; target; objective; CL:個|个[ge4]","你这样做的目的是什么？","nǐ zhèyàng zuò de mùdì shì shénme?","What is your purpose in doing this?","我们学习的目的是为了提高自己。","wǒmen xuéxí de mùdì shì wèile tígāo zìjǐ.","Our aim in studying is to improve ourselves."
一块,yīkuài,"one block; one piece; one (unit of money); together; in the same place; in company","请给我一块肥皂。","qǐng gěi wǒ yī kuài féizào.","Please give me a bar of soap.","我们一块儿去吃饭吧。","wǒmen yīkuàir qù chīfàn ba.","Let's go eat together."
老实,lǎoshi,"honest; sincere; well-behaved; open and guileless; naive","他是个老实人。","tā shì ge lǎoshi rén.","He is an honest person.","你最好老实交代。","nǐ zuìhǎo lǎoshi jiāodài.","You had better confess honestly."
立刻,lìkè,"forthwith; immediate; prompt; promptly; straightway; thereupon; at once","请立刻过来。","qǐng lìkè guòlai.","Please come over immediately.","他听到消息后立刻出发了。","tā tīngdào xiāoxi hòu lìkè chūfā le.","He set off at once after hearing the news."
受到,shòudào,"to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)","他受到了老师的表扬。","tā shòudào le lǎoshī de biǎoyáng.","He received praise from the teacher.","这个项目受到了大家的支持。","zhège xiàngmù shòudào le dàjiā de zhīchí.","This project received everyone's support."
撞,zhuàng,"to knock against; to bump into; to run into; to meet by accident","小心，别撞到墙。","xiǎoxīn, bié zhuàng dào qiáng.","Be careful not to bump into the wall.","我昨天在街上撞见了他。","wǒ zuótiān zài jiē shàng zhuàngjiàn le tā.","I bumped into him on the street yesterday."
